species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;TPR_perc;Latitude;Belt;Longitude;Loc_nr;years_nr;mean_year;period_orig;N_nests;Exposure
Himantopus_novaezelandiae;Charadrii;Other;44;1;0.038095238;0.048095238;YES;0.656337572;65.6337572;-43.862;South temperate;170.45;24;3;1978;before 2000;27;288.75
Chionis_albus;Charadrii;Other;65;1;0.009827044;0.019827044;YES;0.27095567;27.095567;-62.168;South temperate;-58.693;68;3;1988;before 2000;29;508.8
Pluvianellus_socialis;Charadrii;Other;87;1;0.0154;0.0254;NO;0.342318768;34.2318768;-51.23;South temperate;-69.494;118;1;2006;after 2000;17;259.74
Charadrius_falklandicus;Charadrii;Charadriidae;49;1;0.007539042;0.017539042;NO;0.194004166;19.4004166;-42.729;South temperate;-65.036;110;2;2014;after 2000;75;928.5
Haematopus_fuliginosus;Charadrii;Other;37;1;0.029761905;0.039761905;YES;0.570865891;57.0865891;-40.094;South temperate;148.088;45;2;1988;before 2000;65;873.6
Haematopus_longirostris;Charadrii;Other;39;1;0.020215633;0.030215633;YES;0.435512725;43.5512725;-40.094;South temperate;148.088;45;2;1988;before 2000;31;445.2
Thinornis_rubricollis;Charadrii;Charadriidae;96;1;0.042270531;0.052270531;YES;0.726293245;72.6293245;-38.48;South temperate;145.224;107;5;1994;before 2000;70;828
Thinornis_rubricollis;Charadrii;Charadriidae;96;2;0.011264721;0.021264721;YES;0.288129633;28.8129633;-38.388;South temperate;144.786;94;7;1994;before 2000;149;1953
Charadrius_obscurus;Charadrii;Charadriidae;46;1;0.018621974;0.028621974;YES;0.462227148;46.2227148;-37.557;South temperate;176.058;85;8;1995;before 2000;261;5316.3
Haematopus_unicolor;Charadrii;Other;42;1;0.007936508;0.017936508;YES;0.199972159;19.9972159;-36.676;South temperate;174.746;77;4;2008;after 2000;16;252
Haematopus_moquini;Charadrii;Other;40;2;0;0.01;YES;0;0;-34.46;South temperate;20.552;33;6;1986;before 2000;19;266
Haematopus_moquini;Charadrii;Other;40;1;0.013661202;0.023661202;YES;0.319651765;31.9651765;-33.806;South temperate;18.369;115;1;2001;after 2000;68;1024.8
Burhinus_vermiculatus;Charadrii;Other;7;1;0.012524602;0.022524602;YES;0.288443025;28.8443025;-30.972;South temperate;30.282;97;3;2002;after 2000;27;558.9
Haematopus_palliatus;Charadrii;Other;41;2;0.029813665;0.039813665;YES;0.581123821;58.1123821;-24.859;South tropics;-47.726;119;4;2006;after 2000;22;301.875
Vanellus_coronatus;Charadrii;Charadriidae;104;1;0;0.01;YES;0;0;-17.799;South tropics;31.021;49;1;1977;before 2000;25;470.4
Charadrius_sanctaehelenae;Charadrii;Charadriidae;60;1;0.051520608;0.061520608;YES;0.772604862;77.2604862;-15.967;South tropics;-5.717;128;2;2007;after 2000;173;1999.2
Charadrius_peronii;Charadrii;Charadriidae;57;1;0.020913771;0.030913771;YES;0.446667241;44.6667241;12.197;North tropics;99.993;67;2;2004;after 2000;99;1243.2
Charadrius_wilsonia;Charadrii;Charadriidae;64;1;0.047979798;0.057979798;YES;0.74131603;74.131603;18.062;North tropics;-63.046;129;1;2004;after 2000;35;396
Charadrius_wilsonia;Charadrii;Charadriidae;64;2;0.039130435;0.049130435;NO;0.666364668;66.6364668;26.267;North tropics;-97.367;74;1;1979;before 2000;20;230
Burhinus_oedicnemus;Charadrii;Other;6;2;0.014014014;0.024014014;YES;0.316859487;31.6859487;27.683;North tropics;65.233;98;3;2000;after 2000;105;1498.5
Charadrius_wilsonia;Charadrii;Charadriidae;64;3;0.015584416;0.025584416;NO;0.3507556;35.07556;28.164;North tropics;-96.741;84;1;1980;before 2000;26;385
Charadrius_placidus;Charadrii;Charadriidae;58;1;0.037481259;0.047481259;YES;0.669731898;66.9731898;35.741;North temperate;139.317;133;4;2004;after 2000;31;400.2
Vanellus_cinereus;Charadrii;Charadriidae;103;1;0.015114522;0.025114522;YES;0.371558453;37.1558453;36.293;North temperate;136.311;62;2;2004;after 2000;70;860.1
Himantopus_himantopus;Charadrii;Other;43;1;0.020334536;0.030334536;NO;0.43453087;43.453087;36.95;North temperate;-6.233;35;2;1990;before 2000;233;3049
Recurvirostra_avosetta;Charadrii;Other;89;3;0.015260116;0.025260116;NO;0.346859923;34.6859923;36.95;North temperate;-6.233;35;2;1990;before 2000;163;2162.5
Vanellus_spinosus;Charadrii;Charadriidae;108;1;0.00410509;0.01410509;YES;0.108793487;10.8793487;40.794;North temperate;26.072;41;1;2003;after 2000;39;487.2
Charadrius_alexandrinus;Charadrii;Charadriidae;45;2;0.052760505;0.062760505;YES;0.792348951;79.2348951;41.687;North temperate;12.375;25;4;1992;before 2000;45;530.7
Charadrius_melodus;Charadrii;Charadriidae;52;1;0.020904528;0.030904528;YES;0.480511055;48.0511055;42.765;North temperate;-97.062;92;3;2006;after 2000;550;7988.7
Haematopus_ostralegus;Charadrii;Other;36;4;0.019746336;0.029746336;YES;0.43356964;43.356964;46.391;North temperate;32.033;71;7;1987;before 2000;90;1316.7
Charadrius_vociferus;Charadrii;Charadriidae;63;1;0.016444258;0.026444258;YES;0.377110766;37.7110766;47.551;North temperate;-101.002;101;28;1977;before 2000;128;1824.345
Burhinus_oedicnemus;Charadrii;Other;6;1;0.033916701;0.043916701;YES;0.606093168;60.6093168;51.195;North temperate;-1.903;116;2;2004;after 2000;122;1474.2
Vanellus_vanellus;Charadrii;Charadriidae;109;8;0.02496773;0.03496773;NO;0.543344519;54.3344519;51.385;North temperate;0.805;39;1;1997;before 2000;86;860
Haematopus_ostralegus;Charadrii;Other;36;1;0.014;0.024;NO;0.330898389;33.0898389;52.308;North temperate;5.526;134;10;1979;before 2000;500;6500
Recurvirostra_avosetta;Charadrii;Other;89;1;0.005;0.015;NO;0.129639172;12.9639172;52.308;North temperate;5.526;134;10;1979;before 2000;500;6500
Vanellus_vanellus;Charadrii;Charadriidae;109;3;0.013;0.023;NO;0.333451535;33.3451535;52.308;North temperate;5.526;134;10;1979;before 2000;5000;65000
Charadrius_melodus;Charadrii;Charadriidae;52;2;0.051523298;0.061523298;YES;0.805988845;80.5988845;52.617;North temperate;-109.983;44;2;1996;before 2000;36;446.4
Vanellus_vanellus;Charadrii;Charadriidae;109;15;0.032118419;0.042118419;YES;0.63651292;63.651292;53.053;North temperate;-3.633;51;2;1984;before 2000;152;2148.3
Vanellus_vanellus;Charadrii;Charadriidae;109;14;0.02977496;0.03977496;NO;0.608215865;60.8215865;54.354;North temperate;9.357;4;4;2000;after 2000;179;1731
Vanellus_vanellus;Charadrii;Charadriidae;109;1;0.0224388;0.0324388;NO;0.50516247;50.516247;54.575;North temperate;-2.411;38;3;1986;before 2000;718;9644.1
Charadrius_hiaticula;Charadrii;Charadriidae;50;3;0.030482642;0.040482642;NO;0.579702803;57.9702803;55.667;North temperate;-1.833;75;2;1975;before 2000;111;1181
Haematopus_ostralegus;Charadrii;Other;36;3;0.120879121;0.130879121;NO;0.97456774;97.456774;56.264;North temperate;16.445;124;1;2004;after 2000;25;182
Vanellus_vanellus;Charadrii;Charadriidae;109;11;0.050808314;0.060808314;NO;0.801403454;80.1403454;56.264;North temperate;16.445;124;1;2004;after 2000;74;866
Charadrius_hiaticula;Charadrii;Charadriidae;50;4;0.163616792;0.173616792;NO;0.993280321;99.3280321;56.76;North temperate;-2.418;31;2;1975;before 2000;82;464.5
Charadrius_hiaticula;Charadrii;Charadriidae;50;1;0.051154369;0.061154369;NO;0.770133466;77.0133466;57.338;North temperate;-7.385;125;5;1991;before 2000;183;2209
Haematopus_ostralegus;Charadrii;Other;36;2;0.011251758;0.021251758;NO;0.275658877;27.5658877;57.338;North temperate;-7.385;125;2;1996;before 2000;86;1422
Vanellus_vanellus;Charadrii;Charadriidae;109;9;0.033057851;0.043057851;NO;0.647292062;64.7292062;57.338;North temperate;-7.385;125;2;1996;before 2000;169;1815
Charadrius_semipalmatus;Charadrii;Charadriidae;61;1;0;0.01;YES;0;0;58.695;North temperate;-94.082;56;4;1965;before 2000;15;243.6
Eudromias_morinellus;Charadrii;Charadriidae;29;1;0.025376685;0.035376685;NO;0.525466264;52.5466264;60.383;Arctic;7.633;50;7;1982;before 2000;53;630.5
Pluvialis_apricaria;Charadrii;Charadriidae;83;1;0.054878049;0.064878049;NO;0.857330602;85.7330602;60.383;Arctic;7.633;50;7;1982;before 2000;51;492
Pluvialis_squatarola;Charadrii;Charadriidae;86;4;0.009237875;0.019237875;NO;0.255219465;25.5219465;70.4;Arctic;-150.7;28;4;2012;after 2000;21;433
Charadrius_hiaticula;Charadrii;Charadriidae;50;2;0.032967033;0.042967033;NO;0.608838741;60.8838741;72.233;Arctic;-23.917;88;1;1974;before 2000;13;182
Pluvialis_fulva;Charadrii;Charadriidae;85;3;0.121212121;0.131212121;NO;0.986381009;98.6381009;72.906;Arctic;106.104;80;2;2013;after 2000;16;115.5
Vanellus_miles;Charadrii;Charadriidae;107;2;0.007239;0.017239;YES;0.224530408;22.4530408;-46.419;South temperate;168.288;60;5;1967;before 2000;263;4420.5
Thinornis_novaeseelandiae;Charadrii;Charadriidae;95;1;0;0.01;YES;0;0;-44.347;South temperate;-176.175;114;2;1984;before 2000;53;928.29
Charadrius_bicinctus;Charadrii;Charadriidae;47;1;0.012288787;0.022288787;YES;0.318400105;31.8400105;-44.333;South temperate;170.194;104;3;1999;before 2000;39;651
Haematopus_chathamensis;Charadrii;Other;38;1;0.009819211;0.019819211;YES;0.248860869;24.8860869;-43.784;South temperate;-176.562;54;3;2000;after 2000;118;1731.3
Vanellus_miles;Charadrii;Charadriidae;107;3;0.042016807;0.052016807;YES;0.777399494;77.7399494;-27.536;South tropics;152.92;108;2;1989;before 2000;26;357
Vanellus_chilensis;Charadrii;Charadriidae;106;1;0.0234;0.0334;NO;0.531256738;53.1256738;-15.815;South tropics;-47.879;17;1;2007;after 2000;36;639
Haematopus_palliatus;Charadrii;Other;41;1;0.03117506;0.04117506;NO;0.59769756;59.769756;30.865;North temperate;-81.45;29;2;2003;after 2000;30;417
Charadrius_nivosus;Charadrii;Charadriidae;55;4;0.032971562;0.042971562;YES;0.62178554;62.178554;36.727;North temperate;-121.796;93;7;1987;before 2000;690;8734.8
Recurvirostra_americana;Charadrii;Other;88;1;0.056874502;0.066874502;YES;0.807068756;80.7068756;37.433;North temperate;-121.967;117;2;2006;after 2000;56;615.39
Charadrius_nivosus;Charadrii;Charadriidae;55;1;0.041828198;0.051828198;YES;0.710360235;71.0360235;37.587;North temperate;-122.118;1;2;2009;after 2000;247;2940.6
