"check nest_search, when_found","who","source_id","species","ref_abb","locality","start_year","year","end_year","nests_hatched","nests_predated","nests_abandoned","nests_infertile","nests_failed_other_cause","nests_unknown_fate","prop_hatched","prop_predated","daily_survival_rate","ds_lwr","ds_upr","daily_predation_rate","dp_lwr","dp_upr","overall_nest_success","os_lwr","os_upr","overall_predation_rate","op_lwr","op_upr","uncertainty","exposure_days","estimation_method","nest_exposure_interval","nest_search_frequency","nest_check_frequency","when_most_nests_found","incubation_period","egg_laying_period","incubation+laying_period","study_anomaly","comments","nest level data in 'nests'","Data quality","Incubation_days","DPR_assumption","obs_time","years_nr","mean_year","Failed_together","N.nests","DPRtrans","DPR_source","DPR","period","Latitude","Belt"
NA,"eweiser",50,"Charadrius_montanus","Dinsmore et al. 2002","north-central Montana",1995,"all",2000,177,255,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95%CI",5542,NA,"incubation","less than weekly","1-2 per week","early incubation","29",NA,NA,"no","No info on predation; source seemed to assume failed = depredated",NA,NA,31.5,"Fail_is_depr",0.5,6,1997.5,255,432,"NO",NA,0.0460122699386503,"before",47.8,"North temperate"
NA,"mcragnolini",57,"Chionis_albus","Favero 1993","King George Island, Nelson Island",1989,"all",1991,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464,NA,NA,NA,"1-2 per week",NA,"28",NA,NA,"no","no cases of predation at nests during the study; no other information about the fate of the nests; nest losses due to environmental causes (nest in highly humid spot)",NA,4,32,"Fail_is_depr",0.5,3,1990,0,29,"YES",NA,0,"before",-62.168,"South temperate"
NA,"rlanctot",58,"Calidris_alpina","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1989",1992,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,"0.85","0.87",NA,NA,NA,"95%CI",187.5,"mayfield",NA,"1-2 per week","every_2nd",NA,"22",NA,NA,"no",NA,"no",5,25,"Fail_is_depr",0.6,4,1990.5,1,13,"YES",NA,0.00533333333333333,"before",70.38,"Arctic"
NA,"rlanctot",58,"Calidris_himantopus","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1989",1992,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1","1",NA,NA,NA,"95%CI",57.6,"mayfield",NA,"1-2 per week","every_2nd",NA,"21",NA,NA,"no",NA,"no",5,24,"Fail_is_depr",0.6,4,1990.5,0,4,"YES",NA,0,"before",70.38,"Arctic"
NA,"rlanctot",58,"Calidris_melanotos","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1989",1992,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,"0.74","0.78",NA,NA,NA,"95%CI",148.2,"mayfield",NA,"1-2 per week","every_2nd",NA,"23",NA,NA,"no",NA,"no",5,26,"Fail_is_depr",0.6,4,1990.5,1,10,"YES",NA,0.00674763832658569,"before",70.38,"Arctic"
NA,"rlanctot",58,"Calidris_pusilla","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1989",1992,40,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,"0.83","0.85",NA,NA,NA,"95%CI",599.25,"mayfield",NA,"1-2 per week","every_2nd",NA,"20",NA,NA,"no",NA,"no",5,23.5,"Fail_is_depr",0.6,4,1990.5,5,45,"YES",NA,0.00834376303712975,"before",70.38,"Arctic"
NA,"rlanctot",58,"Limnodromus_scolopaceus","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1989",1992,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1","1",NA,NA,NA,"95%CI",14.55,"mayfield",NA,"1-2 per week","every_2nd",NA,"21",NA,NA,"no",NA,"no",5,24.25,"Fail_is_depr",0.6,4,1990.5,0,1,"YES",NA,0,"before",70.38,"Arctic"
NA,"rlanctot",58,"Phalaropus_fulicarius","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1989",1992,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,"0.88","0.9",NA,NA,NA,"95%CI",157.32,"mayfield",NA,"1-2 per week","every_2nd",NA,"20",NA,NA,"no",NA,"no",5,22.8,"Fail_is_depr",0.6,4,1990.5,1,12,"YES",NA,0.00635647088736334,"before",70.38,"Arctic"
NA,"rlanctot",58,"Pluvialis_dominica","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1989",1992,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,"0.48","0.58",NA,NA,NA,"95%CI",87.075,"mayfield",NA,"1-2 per week","every_2nd",NA,"26",NA,NA,"no",NA,"no",5,32.25,"Fail_is_depr",0.6,4,1990.5,1,5,"YES",NA,0.0114843525696239,"before",70.38,"Arctic"
NA,"rlanctot",58,"Pluvialis_squatarola","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1989",1992,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,"0.6","0.66",NA,NA,NA,"95%CI",104.775,"mayfield",NA,"1-2 per week","every_2nd",NA,"27",NA,NA,"no",NA,"no",5,31.75,"Fail_is_depr",0.6,4,1990.5,1,6,"YES",NA,0.00954426151276545,"before",70.38,"Arctic"
NA,"rlanctot",58,"Tryngites_subruficollis","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1989",1992,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1","1",NA,NA,NA,"95%CI",16.2,"mayfield",NA,"1-2 per week","every_2nd",NA,"24",NA,NA,"no",NA,"no",5,27,"Fail_is_depr",0.6,4,1990.5,0,1,"YES",NA,0,"before",70.38,"Arctic"
NA,"rlanctot",58,"Calidris_alpina","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1990",1992,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,"0.54","0.62",NA,NA,NA,"95%CI",90,"mayfield",NA,"1-2 per week","every_2nd",NA,"22",NA,NA,"no",NA,"no",5,25,"Fail_is_depr",0.6,4,1990.5,2,7,"YES",NA,0.0222222222222222,"before",70.38,"Arctic"
NA,"rlanctot",58,"Calidris_himantopus","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1990",1992,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,"0.62","0.7",NA,NA,NA,"95%CI",79.2,"mayfield",NA,"1-2 per week","every_2nd",NA,"21",NA,NA,"no",NA,"no",5,24,"Fail_is_depr",0.6,4,1990.5,1,6,"YES",NA,0.0126262626262626,"before",70.38,"Arctic"
NA,"rlanctot",58,"Calidris_melanotos","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1990",1992,49,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,"0.73","0.75",NA,NA,NA,"95%CI",826.8,"mayfield",NA,"1-2 per week","every_2nd",NA,"23",NA,NA,"no",NA,"no",5,26,"Fail_is_depr",0.6,4,1990.5,8,57,"YES",NA,0.00967585873246251,"before",70.38,"Arctic"
NA,"rlanctot",58,"Calidris_pusilla","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1990",1992,40,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,"0.77","0.79",NA,NA,NA,"95%CI",613.35,"mayfield",NA,"1-2 per week","every_2nd",NA,"20",NA,NA,"no",NA,"no",5,23.5,"Fail_is_depr",0.6,4,1990.5,7,47,"YES",NA,0.0114127333496372,"before",70.38,"Arctic"
NA,"rlanctot",58,"Limnodromus_scolopaceus","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1990",1992,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,"0.7","0.74",NA,NA,NA,"95%CI",116.4,"mayfield",NA,"1-2 per week","every_2nd",NA,"21",NA,NA,"no",NA,"no",5,24.25,"Fail_is_depr",0.6,4,1990.5,2,9,"YES",NA,0.0171821305841924,"before",70.38,"Arctic"
NA,"rlanctot",58,"Phalaropus_fulicarius","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1990",1992,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,"0.85","0.87",NA,NA,NA,"95%CI",225.72,"mayfield",NA,"1-2 per week","every_2nd",NA,"20",NA,NA,"no",NA,"no",5,22.8,"Fail_is_depr",0.6,4,1990.5,1,17,"YES",NA,0.00443026758816233,"before",70.38,"Arctic"
NA,"rlanctot",58,"Phalaropus_lobatus","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1990",1992,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,"0.36","0.52",NA,NA,NA,"95%CI",20.25,"mayfield",NA,"1-2 per week","every_2nd",NA,"19",NA,NA,"no",NA,"no",5,22.5,"Fail_is_depr",0.6,4,1990.5,1,2,"YES",NA,0.0493827160493827,"before",70.38,"Arctic"
NA,"rlanctot",58,"Pluvialis_dominica","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1990",1992,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,"0.58","0.66",NA,NA,NA,"95%CI",67.725,"mayfield",NA,"1-2 per week","every_2nd",NA,"26",NA,NA,"no",NA,"no",5,32.25,"Fail_is_depr",0.6,4,1990.5,1,4,"YES",NA,0.014765596160945,"before",70.38,"Arctic"
NA,"rlanctot",58,"Pluvialis_squatarola","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1990",1992,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,"0.54","0.6",NA,NA,NA,"95%CI",114.3,"mayfield",NA,"1-2 per week","every_2nd",NA,"27",NA,NA,"no",NA,"no",5,31.75,"Fail_is_depr",0.6,4,1990.5,2,7,"YES",NA,0.0174978127734033,"before",70.38,"Arctic"
NA,"rlanctot",58,"Tryngites_subruficollis","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1990",1992,14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"0.74","0.76",NA,NA,NA,"95%CI",251.1,"mayfield",NA,"1-2 per week","every_2nd",NA,"24",NA,NA,"no",NA,"no",5,27,"Fail_is_depr",0.6,4,1990.5,3,17,"YES",NA,0.01194743130227,"before",70.38,"Arctic"
NA,"rlanctot",58,"Calidris_alpina","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1991",1992,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,"0.82","0.86",NA,NA,NA,"95%CI",112.5,"mayfield",NA,"1-2 per week","every_2nd",NA,"22",NA,NA,"no",NA,"no",5,25,"Fail_is_depr",0.6,4,1990.5,1,8,"YES",NA,0.00888888888888889,"before",70.38,"Arctic"
NA,"rlanctot",58,"Calidris_himantopus","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1991",1992,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,"0.77","0.81",NA,NA,NA,"95%CI",93.6,"mayfield",NA,"1-2 per week","every_2nd",NA,"21",NA,NA,"no",NA,"no",5,24,"Fail_is_depr",0.6,4,1990.5,1,7,"YES",NA,0.0106837606837607,"before",70.38,"Arctic"
NA,"rlanctot",58,"Calidris_melanotos","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1991",1992,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,"0.68","0.72",NA,NA,NA,"95%CI",210.6,"mayfield",NA,"1-2 per week","every_2nd",NA,"23",NA,NA,"no",NA,"no",5,26,"Fail_is_depr",0.6,4,1990.5,3,15,"YES",NA,0.0142450142450142,"before",70.38,"Arctic"
NA,"rlanctot",58,"Calidris_pusilla","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1991",1992,37,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,"0.76","0.78",NA,NA,NA,"95%CI",571.05,"mayfield",NA,"1-2 per week","every_2nd",NA,"20",NA,NA,"no",NA,"no",5,23.5,"Fail_is_depr",0.6,4,1990.5,7,44,"YES",NA,0.0122581210051659,"before",70.38,"Arctic"
NA,"rlanctot",58,"Limnodromus_scolopaceus","Moitoret et al. 1996","Kuparuk Oilfield, North Slope, Alaska",1989,"1991",1992,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"0.44","0.56",NA,NA,NA,"95%CI",43.65,"mayfield",NA,"1-2 per week","every_2nd",NA,"21",NA,NA,"no",NA,"no",5,24.25,"Fail_is_depr",0.6,4,1990.5,0,3,"YES",NA,0,"before",70.38,"Arctic"
