"species","Locality","Latitude","Longitude","Belt","period","daily_survival_rate","daily_predation_rate","DPRtrans","DPR_assumption","Incubation_days","source_id","predated","hatched","infertile","other_failed","Failed_together","N.nests","obs_time","Exposure_days","years","mean_year","years_nr","References.and.notes","DPR","TPR"
"Charadrius_montanus","north-central Montana",47.8,-108.017,"North temperate","before",NA,NA,"NO","Fail_is_depr",31.5,"50",255,177,NA,NA,255,432,0.5,5542,"1995-2000",1997.5,6,"Dinsmore et al. 2002",0.0460122699386503,0.773223602364198
"Chionis_albus","King George Island, Nelson Island",-62.168,-58.693,"South temperate","before",NA,NA,"YES","Fail_is_depr",32,"57",0,29,NA,NA,0,29,0.5,464,"1989-1991",1990,3,"Favero 1993",0,0
"Calidris_alpina","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",25,"58",5,30,NA,NA,5,35,0.5,406.25,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0123076923076923,0.266260692239514
"Calidris_himantopus","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",24,"58",5,24,NA,NA,5,29,0.5,318,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0157232704402516,0.316382421697177
"Calidris_melanotos","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",26,"58",20,103,NA,NA,20,123,0.5,1469,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0136147038801906,0.299817371551499
"Calidris_pusilla","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",23.5,"58",24,155,NA,NA,24,179,0.5,1962.25,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.012230857434068,0.251135592205205
"Limnodromus_scolopaceus","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",24.25,"58",3,14,NA,NA,3,17,0.5,187.9375,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0159627535749917,0.323091802216968
"Phalaropus_fulicarius","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",22.8,"58",7,49,NA,NA,7,56,0.5,598.5,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0116959064327485,0.235274542011716
"Pluvialis_dominica","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",32.25,"58",9,15,NA,NA,9,24,0.5,314.4375,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0286225402504472,0.608020188338939
"Pluvialis_squatarola","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",31.75,"58",6,19,NA,NA,6,25,0.5,349.25,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0171796707229778,0.423162264662004
"Tryngites_subruficollis","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",27,"58",6,20,NA,NA,6,26,0.5,310.5,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0193236714975845,0.409535630103634
"Phalaropus_lobatus","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",22.5,"58",2,9,NA,NA,2,11,0.5,112.5,"1989-1992",1990.5,3,"Moitoret et al. 1996",0.0177777777777778,0.332087609137489
"Rhinoptilus_africanus","Droëgrond, Northern Cape Province",-29.117,20.317,"South tropics","before",NA,0.005,"NO","DPR_direct_from_source",26,"67",NA,NA,NA,NA,NA,NA,0.5,199.5,"1993-1996",1994.5,4,"Lloyd 2004",0.005,0.122190858265943
"Rhinoptilus_africanus","Kalahari Gemsbok National Park",-25.44,20.903,"South tropics","before",NA,0.0084,"NO","DPR_direct_from_source",26,"67",NA,NA,NA,NA,NA,NA,0.5,475,"1993-1996",1994.5,4,"Lloyd 2004",0.0084,0.196937270653511
"Burhinus_oedicnemus","Salisbury plain, Wessex",51.195,-1.903,"North temperate","after",0.9582,NA,"YES","NA",27,"85",50,60,NA,12,62,122,0.6,1377,"2004-2005",2004.5,2,"Taylor 2006",0.0363108206245461,0.631617890581156
"Burhinus_oedicnemus","Nag valley",27.683,65.233,"North tropics","before",NA,NA,"YES","Fail_is_depr, NA",27,"86, 514",15,73,1,3,19,92,0.6,1344.6,"1999-2001",2000,1,"Nadeem at al. 2014, Nadeem in litt.",0.0111557340473003,0.26132519349815
"Burhinus_oedicnemus","Nag valley",27.683,65.233,"North tropics","after",NA,NA,"YES","Fail_is_depr, NA",27,"86, 514",28,91,NA,1,29,120,0.6,1709.1,"1999-2001",2000,2,"Nadeem at al. 2014, Nadeem in litt.",0.0163828915803639,0.359817206213347
"Pluvianellus_socialis","Santa Cruz Province",-51.23,-69.494,"South temperate","after",0.975,NA,"YES","NA",27,"88",4,12,0,1,5,17,0.5,195.75,"2006-2007",2006.5,1,"Lishman & Nol 2012",0.0204342273307791,0.427326283608495
"Haematopus_bachmani","Beardslee Islands, Alaska",58.508,-135.93,"North temperate","after",NA,NA,"YES","NA",28.5,"89",18,29,4,59,81,110,0.5,1018.875,"2004-2005",2004.5,2,"Tessler & Garding 2006",0.0176665439823335,0.398300489703058
"Haematopus_palliatus","Cumberland Island, Georgia",30.865,-81.45,"North temperate","after",NA,NA,"YES","NA",28.75,"90",13,12,NA,5,18,30,0.5,287.5,"2003-2004",2003.5,2,"Sabine at al. 2005",0.0452173913043478,0.735604311937584
"Haematopus_palliatus","São Paulo coast",-24.859,-47.726,"South tropics","after",NA,NA,"YES","NA",28.75,"91",1,13,NA,8,9,22,0.6,301.875,"2005-2008",2006.5,4,"Barbieri & Delchiaro 2009",0.00331262939958592,0.0909872774777676
"Haematopus_moquini","Robben Island, 7 km from the coast",-33.806,18.369,"South temperate","after",NA,NA,"YES","NA",28,"92",14,43,NA,NA,14,57,0.5,700,"2001-2002",2001.5,1,"Calf and Underhill 2002",0.02,0.432023824049941
"Haematopus_moquini","De Hoop Nature Reserve",-34.46,20.552,"South temperate","before",NA,NA,"YES","NA",28,"93",1,38,NA,21,22,60,0.5,686,"1984-1989",1986.5,6,"Scott et al. 2011",0.00145772594752187,0.0400231457647068
"Anarhynchus_frontalis","Rakaia and Ashey river",-43.545,172.186,"South temperate","before",NA,NA,"YES","NA",32,"94",7,27,0,22,29,56,0.6,796.8,"1982-1983",1982.5,2,"Hughey 1985",0.008785140562249,0.246002809697862
"Charadrius_bicinctus","Rakaia and Ashey river",-43.545,172.186,"South temperate","before",NA,NA,"YES","NA",31,"94",21,64,0,38,59,123,0.6,1739.1,"1982-1983",1982.5,2,"Hughey 1985",0.012075211316198,0.313816351103286
"Haematopus_finschi (H. ostralegus finchi)","Rakaia and Ashey river",-43.545,172.186,"South temperate","before",NA,NA,"YES","NA",28.5,"94",2,8,0,3,5,13,0.6,179.55,"1982-1983",1982.5,2,"Hughey 1985",0.0111389585073796,0.273300076453057
"Himantopus_himantopus","Rakaia and Ashey river",-43.545,172.186,"South temperate","before",NA,NA,"YES","NA",27.75,"94",1,4,0,8,9,13,0.6,141.525,"1982-1983",1982.5,2,"Hughey 1985",0.00706588941883059,0.178624123137058
"Gallinago_gallinago","The Netherlands, whole country",52.308,5.526,"North temperate","before",0.994,0.00600000000000001,"NO","DPR_direct_from_source",23,"95",NA,NA,NA,NA,NA,NA,0.5,0,"1974-1983",1978.5,10,"Beintema & Müskens 1987",0.00600000000000001,0.129263316932654
"Haematopus_ostralegus","The Netherlands, whole country",52.308,5.526,"North temperate","before",0.986,0.014,"NO","DPR_direct_from_source",28.5,"95",NA,NA,NA,NA,NA,NA,0.5,0,"1974-1983",1978.5,10,"Beintema & Müskens 1987",0.014,0.330898388552628
"Limosa_limosa","The Netherlands, whole country",52.308,5.526,"North temperate","before",0.989,0.011,"NO","DPR_direct_from_source",27,"95",NA,NA,NA,NA,NA,NA,0.5,0,"1974-1983",1978.5,10,"Beintema & Müskens 1987",0.011,0.258177719537594
"Philomachus_pugnax","The Netherlands, whole country",52.308,5.526,"North temperate","before",0.999,0.001,"NO","DPR_direct_from_source",25.5,"95",NA,NA,NA,NA,NA,NA,0.5,0,"1974-1983",1978.5,10,"Beintema & Müskens 1987",0.001,0.0251900582324602
"Recurvirostra_avosetta","The Netherlands, whole country",52.308,5.526,"North temperate","before",0.995,0.005,"NO","DPR_direct_from_source",27.7,"95",NA,NA,NA,NA,NA,NA,0.5,0,"1974-1983",1978.5,10,"Beintema & Müskens 1987",0.005,0.12963917202036
"Tringa_totanus","The Netherlands, whole country",52.308,5.526,"North temperate","before",0.993,0.00700000000000001,"NO","DPR_direct_from_source",27.75,"95",NA,NA,NA,NA,NA,NA,0.5,0,"1974-1983",1978.5,10,"Beintema & Müskens 1987",0.00700000000000001,0.177110263252017
"Vanellus_vanellus","The Netherlands, whole country",52.308,5.526,"North temperate","before",0.987,0.013,"NO","DPR_direct_from_source",31,"95",NA,NA,NA,NA,NA,NA,0.5,0,"1974-1983",1978.5,10,"Beintema & Müskens 1987",0.013,0.333451534786844
"Haematopus_ostralegus","Konskyi islansd, Black Sea reserve",46.391,32.033,"North temperate","before",NA,NA,"YES","NA",28.5,"96",26,64,NA,NA,26,90,0.5,1097.25,"1984-1991",1987.5,7,"Rudenko 1998",0.0236956026429711,0.495130082352893
"Calidris_alpina","South Uist, Hebrides",57.338,-7.385,"North temperate","before",0.945125,NA,"NO","NA",25,"97",101,116,0,5,106,222,0.5,2379,"1985-1997",1991,13,"Jackson & Green 2000",0.0424548129466162,0.6619492197629
"Charadrius_hiaticula","South Uist, Hebrides",57.338,-7.385,"North temperate","before",0.939475,NA,"NO","NA",28,"97",113,61,0,9,122,183,0.5,2259,"1985-1997",1991,13,"Jackson & Green 2000",0.0500221336874723,0.762328215014878
"Haematopus_ostralegus","South Uist, Hebrides",57.338,-7.385,"North temperate","before",0.98405,NA,"NO","NA",28.5,"97",16,64,0,3,19,83,0.5,1422,"1995-1997",1996,3,"Jackson & Green 2000",0.0112517580872011,0.275658876705599
"Tringa_totanus","South Uist, Hebrides",57.338,-7.385,"North temperate","before",0.922675,NA,"NO","NA",27.75,"97",30,39,0,0,30,69,0.5,903,"1985-1997",1991,13,"Jackson & Green 2000",0.0332225913621262,0.608429296241385
"Vanellus_vanellus","South Uist, Hebrides",57.338,-7.385,"North temperate","before",0.9615,NA,"NO","NA",31,"97",60,99,0,10,70,169,0.5,1815,"1995-1997",1996,3,"Jackson & Green 2000",0.0330578512396694,0.647292061701785
"Calidris_alpina","south part of Oländ",56.264,16.445,"North temperate","after",0.935,NA,"NO","NA",25,"98",4,2,NA,NA,4,6,0.5,61.5,"2004-2004",2004,1,"Ottvall 2005",0.0650406504065041,0.813869209049548
"Charadrius_hiaticula","south part of Oländ",56.264,16.445,"North temperate","after",0.94,NA,"NO","NA",28,"98",10,4,NA,1,11,15,0.5,166,"2004-2004",2004,1,"Ottvall 2005",0.0602409638554217,0.82442515697436
"Haematopus_ostralegus","south part of Oländ",56.264,16.445,"North temperate","after",0.879,NA,"NO","NA",28.5,"98",22,1,NA,NA,22,23,0.5,182,"2004-2004",2004,1,"Ottvall 2005",0.120879120879121,0.974567740392658
"Limosa_limosa","south part of Oländ",56.264,16.445,"North temperate","after",0.809,NA,"NO","NA",27,"98",4,0,NA,NA,4,4,0.5,21,"2004-2004",2004,1,"Ottvall 2005",0.19047619047619,0.996671872778084
"Recuvirostra_avosetta","south part of Oländ",56.264,16.445,"North temperate","after",0.879,NA,"NO","NA",NA,"98",5,1,NA,1,6,7,0.5,41.5,"2004-2004",2004,1,"Ottvall 2005",0.120481927710843,NA
"Tringa_totanus","south part of Oländ",56.264,16.445,"North temperate","after",0.921,NA,"NO","NA",27.75,"98",27,7,NA,4,31,38,0.5,366.5,"2004-2004",2004,1,"Ottvall 2005",0.0736698499317872,0.880394558092362
"Vanellus_vanellus","south part of Oländ",56.264,16.445,"North temperate","after",0.949,NA,"NO","NA",31,"98",44,27,NA,NA,44,71,0.5,866,"2004-2004",2004,1,"Ottvall 2005",0.0508083140877598,0.801403453886683
"Haematopus_fuliginosus","Furneaux Island Group, Tasmania",-40.094,148.088,"South temperate","before",NA,NA,"YES","Fail_is_depr",28,"99",26,38,NA,NA,26,64,0.6,856.8,"1988-1989",1988.5,2,"Lauro & Nol 1995",0.0303454715219421,0.578034600360962
"Haematopus_longirostris","Furneaux Island Group, Tasmania",-40.094,148.088,"South temperate","before",NA,NA,"YES","Fail_is_depr",28,"99",15,21,NA,NA,15,36,0.6,478.8,"1988-1989",1988.5,2,"Lauro & Nol 1995",0.031328320802005,0.589847963851803
