"species","Locality","Latitude","Longitude","Belt","period","daily_survival_rate","daily_predation_rate","DPRtrans","DPR_assumption","Incubation_days","source_id","predated","hatched","infertile","other_failed","Failed_together","N.nests","obs_time","Exposure_days","years","mean_year","years_nr","References.and.notes","DPR","TPR","K_incl","TPR_k","DPR_k"
"Charadrius_montanus","north-central Montana",47.8,-108.017,"North temperate","before",NA,NA,"NO","Fail_is_depr",31.5,"50",255,177,NA,NA,255,432,0.5,5542,"1995-2000",1997.5,6,"Dinsmore et al. 2002",0.046,0.773223602364198,1,0.580814682,0.0272
"Chionis_albus","King George Island, Nelson Island",-62.168,-58.693,"South temperate","before",NA,NA,"YES","Fail_is_depr",32,"57",0,29,NA,NA,0,29,0.5,464,"1989-1991",1990,3,"Favero 1993",0,0,1,0.27095567,0.0098
"Calidris_alpina","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",25,"58",5,30,NA,NA,5,35,0.5,406.25,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0123,0.266260692239514,1,0.227199417,0.0103
"Calidris_himantopus","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",24,"58",5,24,NA,NA,5,29,0.5,318,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0157,0.316382421697177,1,0.271336876,0.0131
"Calidris_melanotos","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",26,"58",20,103,NA,NA,20,123,0.5,1469,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0136,0.299817371551499,1,0.26,0.0114
"Calidris_pusilla","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",23.5,"58",24,155,NA,NA,24,179,0.5,1962.25,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0122,0.251135592205205,1,0.213961858,0.0102
"Limnodromus_scolopaceus","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",24.25,"58",3,14,NA,NA,3,17,0.5,187.9375,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.016,0.323091802216968,1,0.277288664,0.0133
"Phalaropus_fulicarius","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",22.8,"58",7,49,NA,NA,7,56,0.5,598.5,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0117,0.235274542011716,1,0.20013496,0.0097
"Pluvialis_dominica","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",32.25,"58",9,15,NA,NA,9,24,0.5,314.4375,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0286,0.608020188338939,1,0.540930286,0.0239
"Pluvialis_squatarola","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",31.75,"58",6,19,NA,NA,6,25,0.5,349.25,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0172,0.423162264662004,1,0.367345343,0.0143
