who,source_id,species,ref_abb,locality,start_year,year,end_year,nests_total,nests_hatched,nests_predated,nests_abandoned,nests_infertile,nests_failed_other_cause,nests_unknown_fate,nests_total_failed,prop_hatched,prop_predated,daily_survival_rate,ds_lwr,ds_upr,daily_predation_rate,dp_lwr,dp_upr,overall_nest_success,os_lwr,os_upr,overall_predation_rate,op_lwr,op_upr,uncertainty,exposure_days,estimation_method,nest_exposure_interval,nest_search_frequency,nest_check_frequency,when_most_nests_found,incubation_period,egg_laying_period,incubation+laying_period,study_anomaly,comments,nest level data in 'nests',Data quality
eweiser,50,Charadrius_montanus,Dinsmore et al. 2002,north-central Montana,1995,all,2000,432,,,,,,,,0.41,,,,,,,,,,,,,,95%CI,5542,unknown,incubation,less than weekly,1-2 per week,early incubation,29,,,no,No info on predation; source seemed to assume failed = depredated; searched >=3 times per year; nests checked every 3-7 days; ,,
mcragnolini,57,Chionis_albus,Favero 1993,"King George Island, Nelson Island",1989,all,1991,29,u,0,u,u,u,u,u,,,,,,,,,,,,,,,,,,,unknown,1-2 per week,unknown,28,u,u,no,no cases of predation at nests during the study; no other information about the fate of the nests; nest losses due to environmental causes (nest in highly humid spot),,4
rlanctot,58,Calidris_alpina,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1989,1992,13,12,,,,,,1,,,,,,,,,0.86,0.85,0.87,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,22,,,no,,no,5
rlanctot,58,Calidris_himantopus,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1989,1992,4,4,,,,,,0,,,,,,,,,1,1,1,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,21,,,no,,no,5
rlanctot,58,Calidris_melanotos,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1989,1992,10,9,,,,,,1,,,,,,,,,0.76,0.74,0.78,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,23,,,no,,no,5
rlanctot,58,Calidris_pusilla,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1989,1992,45,40,,,,,,5,,,,,,,,,0.84,0.83,0.85,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,20,,,no,,no,5
rlanctot,58,Limnodromus_scolopaceus,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1989,1992,1,1,,,,,,0,,,,,,,,,1,1,1,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,21,,,no,,no,5
rlanctot,58,Phalaropus_fulicarius,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1989,1992,12,11,,,,,,1,,,,,,,,,0.89,0.88,0.9,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,20,,,no,,no,5
rlanctot,58,Pluvialis_dominica,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1989,1992,5,4,,,,,,1,,,,,,,,,0.53,0.48,0.58,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,26,,,no,,no,5
rlanctot,58,Pluvialis_squatarola,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1989,1992,6,5,,,,,,1,,,,,,,,,0.63,0.6,0.66,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,27,,,no,,no,5
rlanctot,58,Tryngites_subruficollis,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1989,1992,1,1,,,,,,0,,,,,,,,,1,1,1,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,24,,,no,,no,5
rlanctot,58,Calidris_alpina,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1990,1992,7,5,,,,,,2,,,,,,,,,0.58,0.54,0.62,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,22,,,no,,no,5
