priority,who1,who2,source_id,ref_abb,species,locality,nest_search_frequency,when_most_nests_found,comments
1,mcragnolini,*in spanish*,57,Favero 1993,Chionis_albus,"King George Island, Nelson Island",,,
1,rlanctot,eweiser,58,Moitoret et al. 1996,Calidris_alpina,"Kuparuk Oilfield, North Slope, Alaska",less than weekly,unknown,Nest searching was done during 3 censuses per season. Pages missing from PDF where there might be more details.
1,rlanctot,eweiser,58,Moitoret et al. 1996,Calidris_himantopus,"Kuparuk Oilfield, North Slope, Alaska",less than weekly,unknown,Nest searching was done during 3 censuses per season. Pages missing from PDF where there might be more details.
1,rlanctot,eweiser,58,Moitoret et al. 1996,Calidris_melanotos,"Kuparuk Oilfield, North Slope, Alaska",less than weekly,unknown,Nest searching was done during 3 censuses per season. Pages missing from PDF where there might be more details.
1,rlanctot,eweiser,58,Moitoret et al. 1996,Calidris_pusilla,"Kuparuk Oilfield, North Slope, Alaska",less than weekly,unknown,Nest searching was done during 3 censuses per season. Pages missing from PDF where there might be more details.
1,rlanctot,eweiser,58,Moitoret et al. 1996,Limnodromus_scolopaceus,"Kuparuk Oilfield, North Slope, Alaska",less than weekly,unknown,Nest searching was done during 3 censuses per season. Pages missing from PDF where there might be more details.
1,rlanctot,eweiser,58,Moitoret et al. 1996,Phalaropus_fulicarius,"Kuparuk Oilfield, North Slope, Alaska",less than weekly,unknown,Nest searching was done during 3 censuses per season. Pages missing from PDF where there might be more details.
1,rlanctot,eweiser,58,Moitoret et al. 1996,Pluvialis_dominica,"Kuparuk Oilfield, North Slope, Alaska",less than weekly,unknown,Nest searching was done during 3 censuses per season. Pages missing from PDF where there might be more details.
1,rlanctot,eweiser,58,Moitoret et al. 1996,Pluvialis_squatarola,"Kuparuk Oilfield, North Slope, Alaska",less than weekly,unknown,Nest searching was done during 3 censuses per season. Pages missing from PDF where there might be more details.
1,rlanctot,eweiser,58,Moitoret et al. 1996,Tryngites_subruficollis,"Kuparuk Oilfield, North Slope, Alaska",less than weekly,unknown,Nest searching was done during 3 censuses per season. Pages missing from PDF where there might be more details.
1,rlanctot,eweiser,58,Moitoret et al. 1996,Phalaropus_lobatus,"Kuparuk Oilfield, North Slope, Alaska",less than weekly,unknown,Nest searching was done during 3 censuses per season. Pages missing from PDF where there might be more details.
1,eschlicht,eweiser,90,Sabine at al. 2005,Haematopus_palliatus,"Cumberland Island, Georgia",unknown,unknown,
1,mbulla,eweiser,92,Calf and Underhill 2002,Haematopus_moquini,"Robben Island, 7 km from the coast",unknown,unknown,"6 broods found after hatching, included in totals in paper"
1,"Cdura, done",eweiser,93,Scott et al. 2011,Haematopus_moquini,De Hoop Nature Reserve,less than weekly,unknown,
1,jreneerkens,rlanctot,95,Beintema & Müskens 1987,Gallinago_gallinago,"The Netherlands, whole country",unknown,unknown,paper summarizes many studies conducted from 1974 to 1983
1,jreneerkens,rlanctot,95,Beintema & Müskens 1987,Haematopus_ostralegus,"The Netherlands, whole country",unknown,unknown,paper summarizes many studies conducted from 1974 to 1983
1,jreneerkens,rlanctot,95,Beintema & Müskens 1987,Limosa_limosa,"The Netherlands, whole country",unknown,unknown,paper summarizes many studies conducted from 1974 to 1983
1,jreneerkens,rlanctot,95,Beintema & Müskens 1987,Philomachus_pugnax,"The Netherlands, whole country",unknown,unknown,paper summarizes many studies conducted from 1974 to 1983
1,jreneerkens,rlanctot,95,Beintema & Müskens 1987,Recurvirostra_avosetta,"The Netherlands, whole country",unknown,unknown,paper summarizes many studies conducted from 1974 to 1983
1,jreneerkens,rlanctot,95,Beintema & Müskens 1987,Tringa_totanus,"The Netherlands, whole country",unknown,unknown,paper summarizes many studies conducted from 1974 to 1983
1,jreneerkens,rlanctot,95,Beintema & Müskens 1987,Vanellus_vanellus,"The Netherlands, whole country",unknown,unknown,paper summarizes many studies conducted from 1974 to 1983
